last_name, first_name,player_id,year,xba,exit_velocity_avg,barrel_batted_rate,
Murphy, Daniel,502517,2016,.313,90.7,8.5,
Goldschmidt, Paul,502671,2016,.268,91,7.8,
Gonzalez, Marwin,503556,2016,.222,89.3,5.4,
Altuve, Jose,514888,2016,.313,88.3,6.9,
Hernandez, Cesar,514917,2016,.257,87,1.8,
Segura, Jean,516416,2016,.267,89,5.9,
Castro, Starlin,516770,2016,.260,88.5,5.4,
Marte, Starling,516782,2016,.277,87.5,5.4,
Donaldson, Josh,518626,2016,.275,92.2,12.3,
Freeman, Freddie,518692,2016,.274,91.3,13.2,
Heyward, Jason,518792,2016,.249,86.8,3,
LeMahieu, DJ,518934,2016,.332,91.8,4.9,
Lucroy, Jonathan,518960,2016,.271,87.6,7.4,
Moreland, Mitch,519048,2016,.252,90.6,9.6,
Rizzo, Anthony,519203,2016,.258,89.1,9.2,
Vogt, Stephen,519390,2016,.256,85.9,5.1,
Galvis, Freddy,520471,2016,.224,87.4,2.8,
Perez, Salvador,521692,2016,.236,88.8,6.3,
Forsythe, Logan,523253,2016,.270,90,7.5,
Inciarte, Ender,542255,2016,.259,85.5,0.7,
Ozuna, Marcell,542303,2016,.272,90.8,7.8,
Villar, Jonathan,542340,2016,.235,90.3,6.4,
Crawford, Brandon,543063,2016,.242,88.9,5.4,
Harrison, Josh,543281,2016,.236,86.5,2.1,
Hosmer, Eric,543333,2016,.262,92,9.2,
Kipnis, Jason,543401,2016,.265,89.9,6.7,
Miller, Brad,543543,2016,.239,90.6,9.7,
Rendon, Anthony,543685,2016,.260,91.1,5.9,
Semien, Marcus,543760,2016,.218,88,6.7,
Shaw, Travis,543768,2016,.230,88.6,8,
Springer III, George,543807,2016,.256,89.4,10.5,
Gregorius, Didi,544369,2016,.247,86.1,2.9,
Trout, Mike,545361,2016,.296,90.9,14.4,
Herrera, Odubel,546318,2016,.232,87.7,4.2,
Harper, Bryce,547180,2016,.240,89,7.3,
Martin, Leonys,547982,2016,.218,87.6,5,
